Rotational speed [rpm],Process temperature [K],Torque [Nm],Tool wear [min]
1551,308.6,42.8,0
1408,308.7,46.3,3
1498,308.5,49.4,5
1433,308.6,39.5,7
1408,308.7,40.0,9
1425,308.6,41.9,11
1558,308.6,42.4,14
1527,308.6,40.2,16
1667,308.7,28.6,18
1741,309.0,28.0,21
1782,308.9,23.9,24
1423,309.1,44.3,29
1339,309.1,51.1,34
1742,309.2,30.0,37
2035,309.2,19.6,40
1542,309.2,48.4,42
1311,309.2,46.6,44
1410,309.2,45.6,47
1306,309.2,54.5,50
1632,309.3,32.5,55
1375,309.3,42.7,58
1450,309.3,44.8,63
1581,309.3,30.7,65
1758,309.4,25.7,68
1561,309.4,37.3,70
1861,309.5,23.3,73
1512,309.5,39.0,75
1811,309.4,24.6,77
1439,309.4,44.2,82
1693,309.4,30.1,84
1339,309.5,48.2,86
1798,309.4,25.5,89
1419,309.4,48.3,91
1665,309.3,32.5,93
1559,309.1,34.7,95
1452,309.2,48.6,98
1581,309.2,36.7,101
1439,309.1,39.2,104
1379,309.2,50.7,106
1350,309.1,52.5,111
1362,309.1,45.4,113
1368,309.1,50.8,115
1368,309.1,49.1,117
1372,309.2,48.5,120
1472,309.1,47.5,125
1489,309.1,49.1,128
1843,309.0,25.8,130
1418,309.1,46.3,133
1425,309.2,53.9,135
1412,309.2,44.1,140
1383,309.1,54.9,145
1497,309.0,43.8,147
1565,309.0,35.1,152
1691,309.0,30.1,154
1512,309.1,40.7,156
1477,309.1,42.4,158
1513,309.1,40.3,160
1661,309.0,29.5,162
1378,309.1,54.4,165
1393,309.1,52.6,167
1592,309.0,38.2,169
1829,309.0,22.9,172
1812,309.0,25.9,174
1523,309.1,38.6,177
1394,309.1,45.1,179
1679,308.9,28.7,181
1466,308.9,44.1,184
1527,308.9,32.4,189
1924,309.0,22.6,193
1452,309.1,45.5,196
1369,309.1,44.4,198
1592,309.1,35.0,200
1601,309.0,32.3,202
1379,308.9,46.7,204
1461,308.9,47.9,206
1398,308.9,51.5,0
1402,308.9,37.9,2
1445,308.8,49.9,4
1450,308.9,47.5,9
1453,308.9,40.8,11
1469,309.0,40.1,13
1422,308.9,47.6,15
1804,309.0,26.8,17
1436,309.0,43.9,20
1544,309.0,31.8,25
1419,309.0,45.2,27
1487,308.9,39.5,30
1753,308.9,25.8,33
1830,308.9,24.9,35
1727,308.9,27.1,37
1450,309.0,43.0,40
1622,308.9,31.9,42
1351,309.0,52.2,44
1575,309.0,35.3,47
1750,308.9,29.9,50
1529,308.8,32.7,53
1523,308.8,44.4,55
1852,308.9,25.0,57
1991,308.8,20.7,59
1555,308.8,40.6,61
1441,308.8,40.5,63
1450,308.7,43.4,66
1591,308.7,31.1,68
1445,308.7,48.5,70
1497,308.8,46.8,72
1621,308.8,32.7,75
1572,308.7,34.1,80
1872,308.6,22.5,82
1499,308.6,43.5,84
1498,308.7,39.5,89
1486,308.6,41.9,92
1680,308.6,29.4,95
1431,308.6,45.7,97
1564,308.7,34.1,99
1599,308.6,33.0,101
1707,308.6,28.1,103
1467,308.5,40.7,106
1433,308.7,44.7,108
1558,308.7,41.2,110
1310,308.8,50.7,112
1546,308.7,43.4,114
1727,308.7,29.4,116
1560,308.6,32.2,118
1329,308.6,60.5,120
1413,308.6,46.5,122
1587,308.6,38.6,124
1559,308.5,34.3,126
1473,308.4,41.1,128
1737,308.4,27.7,130
1441,308.4,43.2,132
1430,308.4,49.6,135
1369,308.4,53.0,138
1711,308.5,28.5,140
1420,308.5,45.7,143
1297,308.6,55.3,148
1449,308.6,49.4,150
1268,308.6,55.8,155
1511,308.6,36.1,157
1544,308.5,35.2,159
1778,308.4,28.2,161
1407,308.4,50.5,164
1391,308.4,42.4,169
1513,308.4,33.6,172
1612,308.4,36.1,174
1515,308.4,40.1,179
1379,308.3,48.0,181
1473,308.3,39.9,184
1422,308.3,42.7,186
1463,308.2,37.6,188
1584,308.2,41.0,191
1850,308.2,27.0,194
1528,308.2,36.2,196
1987,308.2,19.8,198
1495,308.1,46.0,203
1478,308.2,43.5,206
1499,308.2,40.0,211
1471,308.2,47.0,214
1586,308.1,35.5,0
1468,308.2,43.8,2
1440,308.3,43.6,5
1733,308.4,26.0,8
1612,308.2,32.6,10
1458,308.3,42.9,15
1318,308.3,59.1,22
1610,308.2,35.0,24
1462,308.1,50.8,27
1924,308.0,20.8,29
1591,308.0,33.7,32
1306,308.1,58.3,35
1382,308.1,43.5,37
1618,308.1,34.7,39
1988,308.2,21.4,41
1436,308.2,50.2,43
1304,308.3,49.8,45
1475,308.3,49.9,47
1824,308.3,24.2,49
1342,308.2,48.1,54
1485,308.2,40.7,57
1667,308.2,30.6,59
1446,308.2,38.2,61
1301,308.3,56.0,63
